Age,Age_Group,Gender,Religion,Physical_Condition,Mental_Condition,Banned_Categories,Allowed_Categories
33,young adults,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
32,young adults,female,Islam,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
72,young elderly,male,Buddhism,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
37,middle-aged,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
22,young adults,male,Buddhism,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
17,adolescents,female,Buddhism,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
57,middle-aged,male,Buddhism,intellectual disability,major accidents,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
15,adolescents,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
27,young adults,female,Buddhism,visual impairment,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
71,young elderly,male,None,visual impairment,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
70,young elderly,male,Christianity,hearing impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']"
44,middle-aged,female,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
50,middle-aged,male,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
18,adolescents,female,None,hearing impairment,healthy,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']"
13,adolescents,female,None,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
17,adolescents,male,Buddhism,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
16,adolescents,male,Christianity,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
34,young adults,male,None,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
44,middle-aged,male,None,healthy,sexual assault,"['Harassment', 'Sexuality', 'Violence']","['Hate', 'Propaganda', 'Self-Harm', 'Shocking']"
75,elderly,male,None,healthy,major accidents,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
38,middle-aged,female,None,intellectual disability,war,"['Harassment', 'Propaganda', 'Violence']","['Hate', 'Self-Harm', 'Sexuality', 'Shocking']"
42,middle-aged,female,Christianity,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
85,elderly,male,None,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']","['Hate', 'Sexuality']"
47,middle-aged,female,None,intellectual disability,healthy,"['Harassment', 'Propaganda']","['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
19,adolescents,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
14,adolescents,male,Christianity,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
40,middle-aged,male,Buddhism,visual impairment,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
28,young adults,female,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
14,adolescents,female,Buddhism,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
57,middle-aged,female,None,healthy,anxiety,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
8,children,female,Buddhism,healthy,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
18,adolescents,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
73,young elderly,female,None,healthy,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
74,young elderly,female,Christianity,hearing impairment,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
8,children,male,Islam,healthy,natural disasters,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
39,middle-aged,male,Buddhism,visual impairment,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
58,middle-aged,female,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
29,young adults,male,Buddhism,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
78,elderly,male,Islam,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']"
13,adolescents,male,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
16,adolescents,male,None,visual impairment,major accidents,"['Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm']"
21,young adults,male,Islam,visual impairment,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
73,young elderly,male,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
46,middle-aged,male,Buddhism,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
34,young adults,female,Islam,visual impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
32,young adults,female,Buddhism,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
49,middle-aged,female,Buddhism,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
37,middle-aged,male,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
26,young adults,female,Christianity,visual impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
54,middle-aged,female,Christianity,intellectual disability,major accidents,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
11,children,male,None,healthy,natural disasters,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
70,young elderly,female,Christianity,hearing impairment,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
45,middle-aged,female,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
62,young elderly,male,None,healthy,sexual assault,"['Harassment', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Propaganda', 'Self-Harm']"
69,young elderly,female,None,healthy,natural disasters,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
44,middle-aged,male,None,healthy,natural disasters,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
25,young adults,male,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
88,elderly,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
59,middle-aged,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
24,young adults,male,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
18,adolescents,female,Islam,visual impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
45,middle-aged,male,None,intellectual disability,healthy,"['Harassment', 'Propaganda']","['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
23,young adults,female,Christianity,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
33,young adults,female,Islam,visual impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
52,middle-aged,male,None,healthy,anxiety,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
16,adolescents,female,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
15,adolescents,female,None,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
10,children,male,Buddhism,healthy,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
6,children,male,None,intellectual disability,depression,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[]
60,young elderly,male,Buddhism,visual impairment,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
16,adolescents,male,Buddhism,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
57,middle-aged,male,Christianity,intellectual disability,major accidents,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
34,young adults,female,Islam,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
64,young elderly,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
26,young adults,male,Islam,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
39,middle-aged,female,None,healthy,war,"['Propaganda', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Sexuality', 'Shocking']"
18,adolescents,male,Christianity,visual impairment,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
35,middle-aged,male,Christianity,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
64,young elderly,male,None,healthy,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
15,adolescents,male,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
18,adolescents,female,Christianity,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
13,adolescents,female,None,healthy,sexual assault,"['Harassment', 'Sexuality', 'Violence']","['Hate', 'Propaganda', 'Self-Harm', 'Shocking']"
65,young elderly,female,Buddhism,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
37,middle-aged,female,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
18,adolescents,female,None,healthy,war,"['Propaganda', 'Sexuality', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Shocking']"
51,middle-aged,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
15,adolescents,female,Christianity,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
13,adolescents,female,Buddhism,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
2,infants & toddlers,male,None,visual impairment,natural disasters,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
30,young adults,female,None,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Shocking', 'Violence']","['Hate', 'Self-Harm', 'Sexuality']"
17,adolescents,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
35,middle-aged,female,Christianity,healthy,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
53,middle-aged,male,Buddhism,healthy,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
63,young elderly,female,Christianity,hearing impairment,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
25,young adults,male,Buddhism,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
14,adolescents,female,Islam,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
20,young adults,male,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
8,children,female,None,visual impairment,anxiety,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
17,adolescents,female,Christianity,hearing impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
16,adolescents,male,Islam,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
69,young elderly,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
21,young adults,male,Buddhism,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
33,young adults,male,Buddhism,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
69,young elderly,male,Buddhism,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
18,adolescents,female,None,healthy,natural disasters,"['Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm']"
46,middle-aged,female,Islam,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
42,middle-aged,male,None,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
32,young adults,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
11,children,male,None,visual impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
31,young adults,female,None,visual impairment,war,"['Propaganda', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Sexuality', 'Shocking']"
14,adolescents,male,Christianity,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
6,children,male,None,visual impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
58,middle-aged,male,Islam,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
13,adolescents,male,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
24,young adults,female,None,hearing impairment,major accidents,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
18,adolescents,female,Islam,hearing impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
39,middle-aged,male,Islam,intellectual disability,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
76,elderly,female,None,healthy,war,"['Propaganda', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm', 'Sexuality']"
14,adolescents,male,Christianity,visual impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
14,adolescents,female,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
67,young elderly,female,Christianity,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
25,young adults,male,Christianity,visual impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
14,adolescents,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
61,young elderly,female,None,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']","['Hate', 'Sexuality']"
24,young adults,female,Islam,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
19,adolescents,female,Islam,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
28,young adults,female,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
26,young adults,female,None,intellectual disability,healthy,"['Harassment', 'Propaganda']","['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
29,young adults,male,None,healthy,anxiety,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
11,children,female,Christianity,hearing impairment,major accidents,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
15,adolescents,male,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
33,young adults,male,Islam,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
8,children,female,Christianity,hearing impairment,anxiety,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
5,children,male,None,visual impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
8,children,male,None,healthy,major accidents,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
32,young adults,female,Islam,healthy,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
37,middle-aged,female,Islam,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
0,infants & toddlers,male,None,visual impairment,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
34,young adults,male,Christianity,visual impairment,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
74,young elderly,male,Christianity,healthy,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
25,young adults,male,Buddhism,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
22,young adults,male,Christianity,hearing impairment,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
32,young adults,male,Buddhism,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
78,elderly,male,None,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']","['Hate', 'Sexuality']"
60,young elderly,male,None,healthy,major accidents,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
19,adolescents,male,Buddhism,visual impairment,sexual assault,"['Harassment', 'Propaganda', 'Sexuality', 'Violence']","['Hate', 'Self-Harm', 'Shocking']"
13,adolescents,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
94,long-lived elderly,male,Christianity,healthy,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
44,middle-aged,female,Islam,intellectual disability,major accidents,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
8,children,male,Christianity,hearing impairment,natural disasters,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
21,young adults,male,Islam,hearing impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
59,middle-aged,male,None,visual impairment,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
6,children,male,None,intellectual disability,healthy,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[]
40,middle-aged,male,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
54,middle-aged,female,Buddhism,hearing impairment,major accidents,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
29,young adults,female,None,healthy,healthy,[],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']"
12,children,male,Islam,healthy,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
23,young adults,male,Islam,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
37,middle-aged,female,Islam,visual impairment,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
26,young adults,male,Christianity,healthy,depression,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
45,middle-aged,female,None,visual impairment,anxiety,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
63,young elderly,female,Christianity,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
44,middle-aged,female,None,visual impairment,natural disasters,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
60,young elderly,female,Islam,visual impairment,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
14,adolescents,male,Christianity,hearing impairment,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
18,adolescents,male,None,visual impairment,depression,"['Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Violence']"
33,young adults,female,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
15,adolescents,male,Christianity,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
19,adolescents,female,Islam,intellectual disability,healthy,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']"
14,adolescents,male,None,hearing impairment,healthy,['Sexuality'],"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Shocking', 'Violence']"
48,middle-aged,female,None,hearing impairment,anxiety,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
22,young adults,female,Islam,intellectual disability,natural disasters,"['Harassment', 'Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Hate', 'Self-Harm']"
97,long-lived elderly,male,None,healthy,healthy,"['Shocking', 'Violence']","['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality']"
13,adolescents,female,Buddhism,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
28,young adults,male,Christianity,intellectual disability,anxiety,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
16,adolescents,male,Buddhism,intellectual disability,depression,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']"
11,children,female,None,healthy,healthy,"['Hate', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Propaganda']"
10,children,male,Christianity,visual impairment,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
11,children,male,Christianity,hearing impairment,healthy,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment']
15,adolescents,female,Christianity,healthy,anxiety,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']"
33,young adults,male,Buddhism,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
30,young adults,female,None,healthy,depression,"['Self-Harm', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Sexuality', 'Violence']"
85,elderly,female,Buddhism,healthy,natural disasters,"['Propaganda', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate', 'Self-Harm']"
19,adolescents,male,Christianity,healthy,healthy,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']"
